,price,dlc_count,achievements,main_story,multi-language,has_voice_acting,extra_content_hours,independent,rpg,action,adventure,sim,casual,success
437,49.99,0,23,42.42,1.0,1.0,7.329999999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0
438,15.99,1,50,12.15,1.0,1.0,4.950000000000001,0.0,0.0,1.0,0.0,1.0,0.0,1.0
442,7.99,0,61,4.45,1.0,1.0,8.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0
444,9.99,0,0,1.57,1.0,1.0,0.15999999999999992,1.0,0.0,0.0,1.0,0.0,0.0,1.0
446,5.99,2,74,3.93,1.0,1.0,15.07,1.0,0.0,1.0,0.0,0.0,0.0,1.0
447,0.0,0,0,1.13,0.0,1.0,0.20000000000000018,1.0,0.0,1.0,1.0,0.0,0.0,1.0
449,29.99,4,58,9.35,1.0,1.0,31.379999999999995,0.0,0.0,1.0,1.0,0.0,0.0,1.0
450,14.99,0,26,5.13,1.0,1.0,9.25,0.0,0.0,1.0,0.0,0.0,0.0,1.0
451,39.99,0,51,13.47,1.0,1.0,16.380000000000003,0.0,0.0,1.0,1.0,0.0,0.0,1.0
453,39.99,11,40,37.52,1.0,1.0,40.43,0.0,0.0,0.0,0.0,1.0,0.0,1.0
454,2.99,0,6,6.05,0.0,1.0,13.779999999999998,1.0,0.0,1.0,0.0,0.0,0.0,1.0
455,19.99,0,36,22.6,1.0,1.0,25.769999999999996,1.0,0.0,1.0,1.0,1.0,0.0,1.0
456,29.99,8,66,11.9,1.0,1.0,15.12,1.0,1.0,1.0,1.0,0.0,0.0,0.0
458,12.24,2,27,27.62,1.0,1.0,11.91,0.0,0.0,0.0,0.0,1.0,0.0,1.0
459,14.99,0,23,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
460,0.0,1,37,2.22,0.0,0.0,4.279999999999999,1.0,0.0,1.0,0.0,0.0,0.0,1.0
